"","lon","lat","species","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"752",138.733333,-34.983333,"Diplodia acaciarum",13.4,110,49,3950,264,42,222,84,185,185,84,1064,166,32,50,435,107,107,435
"782",16.094118,60.58671,"Diplodia pyrenophora",4.3,85,26,7973,212,-104,316,134,-18,148,-59,637,85,31,30,231,102,220,124
"783",1.468096,52.591956,"Diplodia rubi",10.1,63,31,4742,207,10,197,78,62,161,42,614,65,39,15,180,125,160,148
"791",-1.030934,53.088267,"Diplodia herbarum",9.6,74,35,4875,213,3,210,44,60,160,35,641,59,45,8,172,144,166,158
"797",176.828028,-39.635785,"Diplodia pyrenophora",14.1,98,49,3567,242,44,198,93,137,185,93,742,82,43,22,240,149,161,240
"802",9.952778,52.154724,"Diplodia rubi",8.7,83,33,6095,222,-23,245,165,16,165,9,683,77,43,19,219,139,219,152
"804",-93.18951,44.976424,"Diplodia malorum",7.1,111,25,11485,285,-159,444,211,-86,211,-86,746,109,21,49,311,68,311,68
"806",1.468096,52.591956,"Diplodia tiliae",10.1,63,31,4742,207,10,197,78,62,161,42,614,65,39,15,180,125,160,148
"808",-0.352462,51.282542,"Diplodia rhododendri",9.9,81,36,4945,223,2,221,70,61,164,38,668,65,41,13,194,143,156,168
"809",-0.352462,51.282542,"Diplodia opuli",9.9,81,36,4945,223,2,221,70,61,164,38,668,65,41,13,194,143,156,168
"818",1.468096,52.591956,"Diplodia tecta",10.1,63,31,4742,207,10,197,78,62,161,42,614,65,39,15,180,125,160,148
"821",-121.917885,37.650547,"Diplodia cyparissa",14.5,130,49,4670,295,34,261,89,203,207,89,577,115,1,85,298,8,12,298
"822",1.320732,52.596184,"Diplodia melaena",10.1,65,32,4840,209,8,201,76,63,163,41,626,65,42,13,181,131,162,156
"825",1.320732,52.596184,"Diplodia subtecta",10.1,65,32,4840,209,8,201,76,63,163,41,626,65,42,13,181,131,162,156
"827",1.468096,52.591956,"Diplodia pyrenophora",10.1,63,31,4742,207,10,197,78,62,161,42,614,65,39,15,180,125,160,148
"828",1.313957,52.506436,"Diplodia ilicicola",9.9,65,32,4804,206,5,201,75,61,160,39,623,65,41,14,181,129,162,154
"829",1.468096,52.591956,"Diplodia rhamni",10.1,63,31,4742,207,10,197,78,62,161,42,614,65,39,15,180,125,160,148
"830",1.320732,52.596184,"Diplodia sambucina",10.1,65,32,4840,209,8,201,76,63,163,41,626,65,42,13,181,131,162,156
"833",1.313957,52.506436,"Diplodia subtecta",9.9,65,32,4804,206,5,201,75,61,160,39,623,65,41,14,181,129,162,154
"843",1.320732,52.596184,"Diplodia mamillana",10.1,65,32,4840,209,8,201,76,63,163,41,626,65,42,13,181,131,162,156
"844",1.468096,52.591956,"Diplodia saccardiana",10.1,63,31,4742,207,10,197,78,62,161,42,614,65,39,15,180,125,160,148
"845",1.313957,52.506436,"Diplodia rosarum",9.9,65,32,4804,206,5,201,75,61,160,39,623,65,41,14,181,129,162,154
"851",16.957022,48.127897,"Diplodia rhamni",9.5,95,31,7359,257,-45,302,188,11,188,-2,658,82,36,29,238,114,238,121
"852",1.468096,52.591956,"Diplodia rosarum",10.1,63,31,4742,207,10,197,78,62,161,42,614,65,39,15,180,125,160,148
"855",-122.272222,37.872222,"Diplodia rosarum",14.4,89,51,2876,234,60,174,105,172,178,105,567,123,1,88,310,7,9,310
"857",-121.917885,37.650547,"Diplodia rosarum",14.5,130,49,4670,295,34,261,89,203,207,89,577,115,1,85,298,8,12,298
"858",1.320732,52.596184,"Diplodia rubi",10.1,65,32,4840,209,8,201,76,63,163,41,626,65,42,13,181,131,162,156
"860",1.147635,52.241174,"Diplodia rosarum",9.6,68,33,4843,206,0,206,72,59,158,35,592,59,37,14,170,121,155,143
"867",-1.782855,52.013228,"Diplodia taxi",8.9,75,36,4640,202,-4,206,40,52,149,31,691,70,44,12,198,146,174,177
"869",1.320732,52.596184,"Diplodia roumeguerei",10.1,65,32,4840,209,8,201,76,63,163,41,626,65,42,13,181,131,162,156
"874",-2.815892,52.729829,"Diplodia syringae",8.8,68,34,4597,194,-1,195,62,54,148,30,731,74,48,14,212,150,177,186
