"","lon","lat","species","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1402",12.14,45.775278,"Diplodia syriaca",12.7,98,32,7154,284,-16,300,164,33,217,33,993,111,63,18,288,195,278,195
"1403",12.1447,45.78635,"Diplodia alni",12.7,98,32,7154,284,-16,300,164,33,217,33,993,111,63,18,288,195,278,195
"1409",17,59,"Diplodia abrotani",6.5,70,25,7144,216,-58,274,149,5,160,-23,564,68,27,27,188,93,180,125
"1410",-99.265,39.438056,"Diplodia melaena",11.4,154,34,10138,339,-105,444,218,-19,244,-19,590,93,11,55,252,41,232,41
"1411",-99.325054,39.35023,"Diplodia melaena",11.2,150,34,10111,336,-104,440,217,-20,243,-20,590,92,11,55,253,41,234,41
"1422",13.4,52.516667,"Diplodia mahoniae",9,81,29,6934,238,-34,272,178,41,178,0,571,70,34,22,188,110,188,127
"1423",13.485235,52.465825,"Diplodia sydowiana",9.1,81,29,6955,239,-34,273,178,42,178,0,553,69,31,23,183,105,183,122
"1424",13.473707,52.454338,"Diplodia ligustri",9.1,81,29,6927,239,-33,272,178,42,178,1,551,68,31,22,181,106,181,122
"1426",-99.325054,39.35023,"Diplodia subterranea",11.2,150,34,10111,336,-104,440,217,-20,243,-20,590,92,11,55,253,41,234,41
"1427",-99.318889,39.550833,"Diplodia subterranea",11.2,154,34,10084,337,-106,443,216,-20,242,-20,591,96,11,57,257,39,235,39
"1432",-99.325054,39.35023,"Diplodia rhois",11.2,150,34,10111,336,-104,440,217,-20,243,-20,590,92,11,55,253,41,234,41
"1445",-86,50,"Diplodia melaena",-0.2,128,25,12438,236,-268,504,149,-172,149,-172,805,93,41,27,268,137,268,137
"1450",-99.325054,39.35023,"Diplodia symphoricarpi",11.2,150,34,10111,336,-104,440,217,-20,243,-20,590,92,11,55,253,41,234,41
"1451",0.026396,53.344673,"Diplodia herbarum",9.5,70,33,4825,207,1,206,43,58,157,33,635,63,42,12,179,137,163,158
"1453",-83.838771,42.253226,"Diplodia fibriseda",8.6,106,28,9575,278,-96,374,205,-28,205,-42,819,88,43,20,248,150,248,151
"1456",-81.081192,38.028778,"Diplodia cercidis",10.5,126,36,7951,275,-71,346,185,-2,204,-2,1137,130,77,15,339,244,337,244
"1461",-81.081192,38.028778,"Diplodia caryigena",10.5,126,36,7951,275,-71,346,185,-2,204,-2,1137,130,77,15,339,244,337,244
"1466",13.307499,52.429431,"Diplodia spiraeae",9.1,82,30,6921,240,-33,273,178,42,178,1,572,70,35,21,187,113,187,128
"1472",8.015174,50.00448,"Diplodia melaena",9,83,32,6259,231,-23,254,170,50,170,9,604,62,38,16,184,118,184,138
"1473",8.015174,50.00448,"Diplodia ligustri",9,83,32,6259,231,-23,254,170,50,170,9,604,62,38,16,184,118,184,138
"1474",8.015174,50.00448,"Diplodia mamillana",9,83,32,6259,231,-23,254,170,50,170,9,604,62,38,16,184,118,184,138
"1475",8.015174,50.00448,"Diplodia taxi",9,83,32,6259,231,-23,254,170,50,170,9,604,62,38,16,184,118,184,138
"1476",8.015174,50.00448,"Diplodia juglandis",9,83,32,6259,231,-23,254,170,50,170,9,604,62,38,16,184,118,184,138
"1477",8.015174,50.00448,"Diplodia rubi",9,83,32,6259,231,-23,254,170,50,170,9,604,62,38,16,184,118,184,138
"1478",8.237962,50.052154,"Diplodia padi",9.6,82,32,6356,237,-19,256,177,55,177,14,568,61,34,18,178,106,178,124
"1480",8.015174,50.00448,"Diplodia mori",9,83,32,6259,231,-23,254,170,50,170,9,604,62,38,16,184,118,184,138
"1481",10.5,51.5,"Diplodia syringae",7.8,81,32,6275,214,-35,249,158,5,158,-3,699,82,46,18,223,143,223,152
"1484",-83.838771,42.253226,"Diplodia juglandis",8.6,106,28,9575,278,-96,374,205,-28,205,-42,819,88,43,20,248,150,248,151
"1485",-83.838771,42.253226,"Diplodia coryli",8.6,106,28,9575,278,-96,374,205,-28,205,-42,819,88,43,20,248,150,248,151
"1488",-75.113037,39.729001,"Diplodia zeae",12.2,109,31,8624,300,-49,349,232,9,232,9,1117,110,75,11,312,251,312,251
"1491",13.343739,52.480155,"Diplodia ligustri",9.1,82,30,6906,239,-33,272,177,42,177,0,573,70,34,22,188,111,188,128
"1493",-73.925684,42.468692,"Diplodia subtecta",7.8,121,30,9389,274,-118,392,174,-49,195,-49,1001,100,60,14,291,201,283,201
"1494",18.06995,59.325706,"Diplodia pyrenophora",7,64,23,7268,222,-48,270,156,10,168,-18,527,66,25,30,183,83,174,113
"1497",18.01846,59.34257,"Diplodia pyrenophora",7,64,23,7303,222,-49,271,156,9,168,-19,529,67,25,30,185,83,176,112
"1506",13.329886,52.452702,"Diplodia hippophaearum",9.1,82,30,6921,240,-33,273,178,42,178,1,572,70,35,21,187,113,187,128
"1507",18.117,59.3259,"Diplodia pyrenophora",7,64,23,7279,222,-48,270,156,10,168,-18,523,65,25,29,181,83,171,113
"1510",-81.25,42.983333,"Diplodia maclurae",7.4,100,27,9321,262,-100,362,182,-41,190,-50,945,91,58,12,255,198,254,215
"1511",12.483056,55.804444,"Diplodia pyrenophora",8.2,64,27,6227,207,-29,236,156,28,162,6,634,69,32,22,198,112,188,122
"1515",18,59,"Diplodia aesculi",7.1,62,23,7083,219,-44,263,156,11,167,-14,495,58,24,28,167,79,154,110
"1521",17,59,"Diplodia pyrenophora",6.5,70,25,7144,216,-58,274,149,5,160,-23,564,68,27,27,188,93,180,125
"1538",13.296524,51.05798,"Diplodia kerriae",8.1,76,29,6738,223,-37,260,167,3,167,-5,624,79,35,26,219,112,219,120
"1547",18,59,"Diplodia buxi",7.1,62,23,7083,219,-44,263,156,11,167,-14,495,58,24,28,167,79,154,110
"1564",-96.571669,39.183608,"Diplodia maura",12.2,132,31,10018,329,-92,421,224,-12,248,-12,857,136,20,51,354,69,325,69
"1565",13.329886,52.452702,"Diplodia wisteriae",9.1,82,30,6921,240,-33,273,178,42,178,1,572,70,35,21,187,113,187,128
"1566",13.303501,52.516328,"Diplodia taxi",9.1,82,30,6920,238,-33,271,178,42,178,0,574,70,35,22,188,111,188,128
"1568",14.071368,50.916255,"Diplodia mori",7.6,75,28,6869,217,-45,262,163,-3,163,-13,606,79,32,29,219,105,219,111
"1569",18.07814,59.31706,"Diplodia rubi",7,64,23,7268,222,-48,270,156,10,168,-18,527,66,25,30,183,83,174,113
"1586",13.329886,52.452702,"Diplodia tecomae",9.1,82,30,6921,240,-33,273,178,42,178,1,572,70,35,21,187,113,187,128
"1617",13.329886,52.452702,"Diplodia melaena",9.1,82,30,6921,240,-33,273,178,42,178,1,572,70,35,21,187,113,187,128
"1644",13.4,52.516667,"Diplodia syringae",9,81,29,6934,238,-34,272,178,41,178,0,571,70,34,22,188,110,188,127
"1646",13.303501,52.516328,"Diplodia aesculi",9.1,82,30,6920,238,-33,271,178,42,178,0,574,70,35,22,188,111,188,128
"1647",13.322605,52.504085,"Diplodia mamma",9.1,82,30,6920,238,-33,271,178,42,178,0,574,70,35,22,188,111,188,128
"1670",-82.742964,39.649244,"Diplodia vincae",10.6,122,33,8885,291,-78,369,197,-14,216,-14,990,110,58,20,310,190,294,190
"1697",-0.555918,53.892485,"Diplodia herbarum",9.3,71,36,4428,199,7,192,47,58,150,37,686,68,46,11,195,149,171,173
"1706",-1.92523,53.991021,"Diplodia vulgaris",8.5,71,36,4591,194,0,194,38,130,145,29,1039,111,68,17,322,209,231,294
"1707",-2.385277,54.260051,"Diplodia tecta",7.2,70,36,4562,179,-15,194,24,91,131,15,1322,152,78,22,432,246,280,389
"1754",13.352737,52.488923,"Diplodia mori",9.1,82,30,6906,239,-33,272,177,42,177,0,573,70,34,22,188,111,188,128
"1758",-75.017343,39.547563,"Diplodia maura",12.2,113,32,8477,300,-49,349,223,11,230,11,1109,110,77,10,304,255,303,255
"1773",-75.024896,39.546504,"Diplodia zeae",12.2,113,32,8477,300,-49,349,223,11,230,11,1109,110,77,10,304,255,303,255
"1784",-75.024896,39.546504,"Diplodia juglandis",12.2,113,32,8477,300,-49,349,223,11,230,11,1109,110,77,10,304,255,303,255
"1799",10.5,51.5,"Diplodia tamaricis",7.8,81,32,6275,214,-35,249,158,5,158,-3,699,82,46,18,223,143,223,152
"1810",13.840138,50.646569,"Diplodia aesculi",7.6,75,28,6976,218,-48,266,164,-4,164,-15,569,77,29,33,213,94,213,98
"1818",13.840138,50.646569,"Diplodia syringae",7.6,75,28,6976,218,-48,266,164,-4,164,-15,569,77,29,33,213,94,213,98
"1845",0.212052,51.093368,"Diplodia consors",9.9,78,37,4774,217,7,210,74,145,161,40,699,76,44,20,220,144,148,189
"1848",0.212052,51.093368,"Diplodia aesculi",9.9,78,37,4774,217,7,210,74,145,161,40,699,76,44,20,220,144,148,189
"1851",0.212052,51.093368,"Diplodia herbarum",9.9,78,37,4774,217,7,210,74,145,161,40,699,76,44,20,220,144,148,189
"1852",0.212052,51.093368,"Diplodia vulgaris",9.9,78,37,4774,217,7,210,74,145,161,40,699,76,44,20,220,144,148,189
"1858",34.3,61.8,"Diplodia pyrenophora",2.5,75,21,9352,208,-147,355,131,-87,146,-96,574,86,21,39,219,80,206,89
"1866",6.158583,46.189304,"Diplodia juglandis",10.2,91,32,6527,258,-19,277,109,95,185,18,934,97,66,11,254,214,241,225
"1874",0.123309,52.264053,"Diplodia confluens",9.7,75,35,4848,213,0,213,159,62,159,36,546,52,32,11,149,114,149,123
"1875",0.123309,52.264053,"Diplodia ilicicola",9.7,75,35,4848,213,0,213,159,62,159,36,546,52,32,11,149,114,149,123
"1876",-0.456299,52.452874,"Diplodia cowdellii",9.6,75,34,4941,213,-3,216,160,60,160,34,581,55,35,10,156,127,156,134
"1877",-2.360627,51.383491,"Diplodia paupercula",9.4,73,36,4621,208,7,201,47,57,155,38,786,84,50,16,240,166,178,218
"1878",-0.453149,52.542741,"Diplodia caespitosa",9.7,74,34,4955,214,-2,216,161,41,161,34,570,55,34,10,154,125,154,130
"1879",-2.21736,51.473761,"Diplodia vulgaris",9.3,73,36,4626,207,6,201,46,56,154,37,764,81,50,15,231,162,175,209
"1880",10.8354,59.9409,"Diplodia pyrenophora",5.4,70,24,7606,208,-77,285,106,-5,154,-43,779,92,39,27,262,129,241,148
"1881",10.7669,59.9144,"Diplodia pyrenophora",5.9,69,24,7553,212,-70,282,111,1,158,-36,756,90,37,28,257,124,234,142
"1883",10.7344,59.9427,"Diplodia pyrenophora",5.9,70,24,7562,213,-71,284,110,1,158,-37,753,91,37,28,256,122,236,141
"1884",15.63325,66.87726,"Diplodia pyrenophora",-1.4,67,26,6550,123,-130,253,36,14,74,-93,1089,117,59,20,321,198,285,284
"1886",-2.950326,52.099502,"Diplodia taxi",9.5,68,34,4604,203,8,195,47,116,156,38,831,89,54,17,258,171,179,236
"1887",-2.659707,52.191393,"Diplodia salicina",9,70,35,4556,198,3,195,42,54,150,34,754,77,51,14,223,161,173,203
"2332",4.5,49,"Diplodia ilicicola",9.9,91,36,5816,236,-13,249,172,61,172,23,683,73,44,14,195,140,195,171
"2488",9.00528,49.77444,"Diplodia cerasorum",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2489",9.00528,49.77444,"Diplodia tiliae",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2490",9.00528,49.77444,"Diplodia pruni",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2491",9.00528,49.77444,"Diplodia lantanae",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2492",9.00528,49.77444,"Diplodia caulicola",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2493",9.00528,49.77444,"Diplodia lonicerae",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2494",9.00528,49.77444,"Diplodia coryli",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2496",9.00528,49.77444,"Diplodia frangulae",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2497",9.00528,49.77444,"Diplodia abrotani",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2498",9.00528,49.77444,"Diplodia alni",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2499",9.00306,48.5925,"Diplodia lycii",8.4,88,33,6345,227,-35,262,165,14,165,2,818,100,50,24,275,153,275,163
"2500",9.00306,48.5925,"Diplodia mamma",8.4,88,33,6345,227,-35,262,165,14,165,2,818,100,50,24,275,153,275,163
"2502",9.00528,49.77444,"Diplodia humuli",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2504",9.00528,49.77444,"Diplodia malorum",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2505",9.00528,49.77444,"Diplodia scabra",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2508",9.00528,49.77444,"Diplodia cincta",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2510",9.00528,49.77444,"Diplodia pseudodiplodia",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2511",9.00528,49.77444,"Diplodia sparsa",9.3,88,33,6511,238,-27,265,175,20,175,8,712,80,45,17,223,146,223,156
"2512",8.015174,50.00448,"Diplodia caulicola",9,83,32,6259,231,-23,254,170,50,170,9,604,62,38,16,184,118,184,138
"2514",8.015174,50.00448,"Diplodia alni",9,83,32,6259,231,-23,254,170,50,170,9,604,62,38,16,184,118,184,138
"2517",-122.419416,37.77493,"Diplodia rhoina",13.9,80,52,2331,218,67,151,108,160,167,108,608,127,1,88,321,8,48,321
"2518",8.015174,50.00448,"Diplodia euonymi",9,83,32,6259,231,-23,254,170,50,170,9,604,62,38,16,184,118,184,138
"2519",8.015174,50.00448,"Diplodia coryli",9,83,32,6259,231,-23,254,170,50,170,9,604,62,38,16,184,118,184,138
"2521",8.015174,50.00448,"Diplodia frangulae",9,83,32,6259,231,-23,254,170,50,170,9,604,62,38,16,184,118,184,138
"2622",1.51,42.495,"Diplodia mutila",6.2,78,33,5485,194,-38,232,74,3,135,-3,1118,121,75,14,323,239,268,243
"2631",20,47,"Diplodia crataegi",10.7,97,30,7813,272,-44,316,188,20,202,2,523,69,28,27,179,90,169,105
"2632",20,47,"Diplodia cydoniae",10.7,97,30,7813,272,-44,316,188,20,202,2,523,69,28,27,179,90,169,105
"2633",20,47,"Diplodia gleditschiae",10.7,97,30,7813,272,-44,316,188,20,202,2,523,69,28,27,179,90,169,105
"2634",25.016667,-31.483333,"Diplodia tumefaciens",14.9,162,54,4734,301,1,300,203,86,208,86,369,62,11,56,167,37,146,37
"2641",174,-42,"Diplodia mutila",12.8,85,46,3318,221,40,181,135,169,169,84,721,83,39,22,216,142,172,208
"2811",66.7569,40.5234,"Diplodia pistaciae",10.5,124,32,9144,313,-74,387,108,208,223,-14,391,68,1,68,177,11,16,136
"2812",66.7534,40.5205,"Diplodia mori",10.5,124,32,9144,313,-74,387,108,208,223,-14,391,68,1,68,177,11,16,136
"2813",66.6964,40.5572,"Diplodia celtidis",9.9,123,31,9157,307,-81,388,102,202,217,-20,397,69,1,67,181,12,16,136
"2869",-81.719553,33.560417,"Diplodia ampelina",16.8,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
"2902",-81.719553,33.560417,"Diplodia evonymi",16.8,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
"2904",-81.719553,33.560417,"Diplodia ravenelii",16.8,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
"2939",-96.571669,39.183608,"Diplodia opuntiae",12.2,132,31,10018,329,-92,421,224,-12,248,-12,857,136,20,51,354,69,325,69
"2941",-81.719553,33.560417,"Diplodia rosarum",16.8,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
"2987",-81.719553,33.560417,"Diplodia virginiana",16.8,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
"2991",-81.719553,33.560417,"Diplodia hederae",16.8,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
"3174",-81.719553,33.560417,"Diplodia vulgaris",16.8,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
"3188",-81.719553,33.560417,"Diplodia glandicola",16.8,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
"3243",-81.719553,33.560417,"Diplodia fulvella",16.8,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
"3518",-81.719553,33.560417,"Diplodia maura",16.8,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
"3531",-75.024896,39.546504,"Diplodia ilicicola",12.2,113,32,8477,300,-49,349,223,11,230,11,1109,110,77,10,304,255,303,255
"3571",13.840138,50.646569,"Diplodia macrostoma",7.6,75,28,6976,218,-48,266,164,-4,164,-15,569,77,29,33,213,94,213,98
"3572",13.4,52.516667,"Diplodia symphoricarpi",9,81,29,6934,238,-34,272,178,41,178,0,571,70,34,22,188,110,188,127
"3579",13.416667,52.5,"Diplodia mamillana",9.1,81,29,6938,238,-34,272,178,41,178,0,562,69,32,22,184,108,184,124
"3584",-81.25,42.983333,"Diplodia melaena",7.4,100,27,9321,262,-100,362,182,-41,190,-50,945,91,58,12,255,198,254,215
"3586",-81.25,42.983333,"Diplodia rubi",7.4,100,27,9321,262,-100,362,182,-41,190,-50,945,91,58,12,255,198,254,215
"3589",-77.809761,40.888467,"Diplodia juglandis",9.5,114,31,8892,283,-82,365,186,-24,206,-24,991,107,62,16,301,198,291,198
"3590",-81.163727,34.054816,"Diplodia mori",17,135,40,7223,332,1,331,261,123,261,74,1185,131,69,20,366,227,366,293
"3591",-81.1637,33.8361,"Diplodia kerriae",17.2,134,40,7121,332,4,328,261,126,261,78,1214,138,69,21,386,229,386,297
"3592",-71.382439,42.407211,"Diplodia pyrenophora",9.1,119,31,8967,281,-94,375,-2,182,204,-28,1123,115,84,9,313,257,257,288
"3593",-81.1637,33.8361,"Diplodia buxi",17.2,134,40,7121,332,4,328,261,126,261,78,1214,138,69,21,386,229,386,297
"3594",-81.1637,33.8361,"Diplodia zeae",17.2,134,40,7121,332,4,328,261,126,261,78,1214,138,69,21,386,229,386,297
"3595",-79.0193,35.7596,"Diplodia gallae",15.3,131,38,7558,318,-19,337,248,106,248,52,1143,118,79,13,332,245,332,275
"3596",-71.382439,42.407211,"Diplodia rosae",9.1,119,31,8967,281,-94,375,-2,182,204,-28,1123,115,84,9,313,257,257,288
"3597",-81.1637,33.8361,"Diplodia vulgaris",17.2,134,40,7121,332,4,328,261,126,261,78,1214,138,69,21,386,229,386,297
"3598",2,46,"Diplodia atrata",9.4,99,39,5446,232,-16,248,117,55,164,24,922,97,65,11,249,205,230,230
"3599",14.071368,50.916255,"Diplodia carpini",7.6,75,28,6869,217,-45,262,163,-3,163,-13,606,79,32,29,219,105,219,111
"3600",14.236567,50.872138,"Diplodia licalis",7.7,76,28,6891,220,-45,265,164,-2,164,-13,585,76,30,31,214,99,214,104
"3650",21.18,50.57,"Diplodia mutila",7.9,86,27,8016,237,-78,315,176,-18,176,-31,610,90,27,42,250,88,250,93
"3710",15.18,53.9,"Diplodia mutila",8.4,70,25,7436,228,-48,276,176,30,176,-15,577,68,28,23,185,100,185,115
"3719",19.97,50.85,"Diplodia mutila",7.6,84,27,7823,230,-76,306,169,-17,169,-33,623,89,28,40,250,92,250,98
"3735",20.42,49.7,"Diplodia mutila",7,93,29,7706,227,-87,314,163,-22,163,-37,790,119,33,45,333,110,333,116
"3752",20.03,50.35,"Diplodia mutila",7.6,87,28,7599,227,-75,302,167,-15,167,-29,685,97,30,41,279,100,279,105
"3757",14.83,53.75,"Diplodia mutila",8.5,72,26,7188,227,-43,270,174,-2,174,-11,558,66,28,23,181,99,181,111
"3760",19.82,50.22,"Diplodia mutila",7,86,29,7417,219,-76,295,160,-18,160,-31,753,106,34,41,304,112,304,117
"3842",15.4,53.77,"Diplodia mutila",8,71,25,7621,227,-57,284,174,-11,174,-23,595,72,29,24,195,103,195,117
"3871",20.57,51.13,"Diplodia mutila",6.9,83,26,7957,224,-85,309,164,-27,164,-42,613,88,28,39,246,91,246,97
"3996",-81.719553,33.560417,"Diplodia gallae",16.8,139,41,7128,331,0,331,258,121,258,74,1228,124,69,18,361,236,361,318
"4010",27.4,38.63,"Diplodia seriata",16.9,116,36,7274,346,30,316,78,264,264,78,701,143,5,76,366,25,25,366
"4069",-35.588028,-8.016458,"Diplodia recifensis",24,88,70,1241,305,180,125,229,246,253,222,815,133,14,64,344,54,196,307
"4090",10.4644,59.9294,"Diplodia pyrenophora",5.4,70,24,7564,208,-76,284,106,-4,153,-42,746,91,36,28,253,120,236,139
"4091",10.6998,59.9315,"Diplodia pyrenophora",5.9,70,24,7555,213,-70,283,110,1,158,-37,747,91,36,29,255,121,235,139
"4105",10.333333,44.8,"Diplodia sophorae",12.5,91,29,7524,291,-18,309,78,220,220,25,842,98,46,21,266,169,169,190
"4106",21.24073,48.998874,"Diplodia mamillana",7.9,96,30,7771,243,-75,318,176,-13,176,-25,680,96,34,39,273,104,273,115
"4107",17.734298,49.55063,"Diplodia aristolochiae-siphoriis",8.3,91,31,7134,236,-54,290,171,1,171,-13,661,95,29,42,268,91,268,96
"4108",10.281313,44.766318,"Diplodia maclurae",12.4,90,29,7457,289,-17,306,78,218,218,25,844,99,45,22,270,165,165,192
"4109",17.476087,49.54494,"Diplodia ligustri",7.8,89,31,7053,230,-56,286,166,-3,166,-16,655,94,30,42,267,91,267,98
"4110",12.102261,53.210312,"Diplodia preussii",8.4,73,29,6451,220,-28,248,167,33,167,3,577,66,32,21,190,107,190,125
"4112",17.7246,49.543502,"Diplodia tiliae",8.3,91,31,7134,236,-54,290,171,1,171,-13,661,95,29,42,268,91,268,96
